reviews,ratings
"We have stayed at this excellent hotel before and had hoped to stay again today. However, due to negative changes in Covid numbers and impending government restrictions, we felt reluctant to visit. On phoning this morning and being advised that we could still check in under the new rules, when I expressed concern it was dealt with in the kindest and most efficient manner. We cannot wait to return to Hotel de France and experience the fabulous spa and fantastic Saffron’s Restaurant again. Thank you for your exemplary and excellent customer service. 😊",5
"We had a fantastic overnight staycation to recharge the batteries due to lack of holiday in 2020! It certainly did that. Had a swim in the spa (probably the loveliest pool in Jersey, infinity pool, subdued blue lighting and perfect temperature). Plenty of space in the spa area too. This was followed by a fantastic 3 course meal in the Garden View restaurant. All the staff were friendly and helpful and the hotel is spotlessly clean and usual protocols for Covid are in place, making you feel safe. Christmas decorations are up making the hotel feel warm and welcoming. I would highly recommend the hotel, thank you for a lovely weekend 😀",5
"We chose this hotel for an overnight stay based on the pool facilities and having a 4 year old who loves swimming. After just 15 mins in the pool on a Sunday morning, we were told to keep the noise down!! We had to get out as it’s impossible to keep a 4 year old quiet when they’re having fun! From a family perspective, Spa / pool is 1 out of 5, which is a shame as they are nice facilities. Food was 5 out of 5, and room nice too - overall therefore, from a family perspective, I rate this hotel 3/5... stay elsewhere if you want to have fun in the pool!!",3
"Really nice hotel, staff were very helpful and friendly. They were all wearing masks which was reassuring as they don't seem commonplace (as at September 2020). The cleaners did a great job. Food was outstanding",5
"We stayed here for a week in September and really enjoyed out stay. The staff were very friendly and took covid19 precautions very seriously so helping us to relax and enjoy our stay. The room and hotel were very clean and again covid 19 precautions like wipes and hand sanitiser were plentiful. We ate in hotel for dinner on two occasions and the food was very good. Like I said before the staff were very friendly and this from the very beginning at the point of booking to the time we booked out, they were friendly and always willing to answer any questions and the wine, flowers and fruit on our anniversary were a really nice touch. Thank you all for making our stay relaxing and enjoyable and we will be back.",5
"During the Covid 19 crisis the trick for hotels and hospitality businesses is to create a clean safe environment whilst helping clients to enjoy themselves in as normal environment as possible.  Not an easy trick to pull off but the Hotel de France carries it off well.  As part of their Covid regime everyone has their temperature taken on an automatic monitor on the way to reception every time they enter or re enter the hotel which is very reassuring.  Room cleaning is flexible and easy to arrange what you wish to have done every day under Covid regs.    The hotel is well appointed and clean.  With easy parking if you hire a car. Our room was in the new section.  It was modern, large, had a great view over St Helier, and a small balcony which fitted two seats and a table…",5
"Stayed at this hotel 5 times in 7 months for business, the staff and hotel have me me very welcome each time.From arriving at check in you are made very welcome, from extras like news papers, use if spa, to the two restaurant options, very well presented and the food options are great.",5
This hotel offered outstanding service from start to Finnish. Myself and my partner only stayed for one night in room 246 for our anniversary. I felt the service from front of house when you arrived to the bar and Spa was outstanding. The facilities in the Spa are well worth the visit. We did not want to go home. Thank you for great memories and a excellent stay.  From Caroline and James ,5
"We stayed for a week in July and wasn't disappointed! The hotel is amazing, members of staff are very friendly and helpful. The room was clean and nice, good choice of tea/coffee/hot chocolate. Shampoo/shower gels were very good quality.   Breakfast - amazing! We were very well looked after by lovely members of staff. Food was fresh and delicious.   Lunch -  on the terrace, a very peaceful atmosphere, excellent service. Milkshakes were delicious!   Dinner - during the week there is a good venue, seafood was fresh, BBQ on Thursday evening was so good!   Also, it is easy to get to the centre from the Hotel, as they take you there for free a few times a day.   SPA was excellent, sauna, steam room etc. and a really peaceful outdoor area!   We absolutely love Jersey and coming to…",5
"14 of us spent the most wonderful afternoon at The Hotel de France indulging in afternoon tea in their lovely garden restaurant. My friend organised this for me and said the staff we second to none. On the day they couldn’t have been more friendly and helpful. There was lots of space and comfortable seating. The afternoon tea was one of the best I’ve ever tried. All freshly made cakes and scones, tasty sandwiches and well presented. I highly recommend it. Thank you again",5
